IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
114,0,41.66,41.72,1.36,1.39,6.94,2.06,2.22,0.93,2.91,2.56,0.64,0.7,4.54,3.66,2.03,116.57,117.07,5113,8282,6100.39
115,0,43.55,43.56,0.84,0.9,6.97,1.99,2.14,0.93,2.97,2.61,0.7,0.67,4.24,3.9,2.69,154.0,149.81,5368,8079,6121.77
116,0,57.33,57.39,0.72,0.74,5.15,1.57,1.64,0.96,2.1,1.8,0.81,0.75,2.57,2.41,0.52,29.74,30.88,4906,7693,5912.76
117,0,18.39,18.4,1.24,1.25,5.69,1.65,1.77,0.93,2.32,2.02,0.76,0.71,3.05,2.86,1.26,72.07,69.82,4976,7337,5919.29
118,0,21.12,21.14,1.1,1.17,6.36,2.01,2.12,0.95,2.67,2.39,0.74,0.74,3.61,3.24,0.85,48.95,46.02,4808,7166,5689.76
119,0,54.15,54.21,1.62,1.64,8.77,2.6,2.97,0.88,3.83,3.46,0.6,0.7,6.39,4.93,0.87,49.82,47.73,5296,8485,6302.84
121,0,78.91,78.98,2.15,2.22,9.46,2.93,3.51,0.83,3.99,3.51,0.52,0.82,7.62,4.29,1.46,83.45,84.03,5218,8386,6163.82
122,0,127.79,127.83,0.72,0.72,7.41,2.74,2.87,0.96,3.15,2.67,1.05,0.87,3.01,3.05,0.14,8.3,5.29,4946,8321,6146.75
123,0,32.5,32.49,0.78,0.79,9.45,2.85,3.16,0.9,4.17,3.83,0.6,0.67,6.96,5.68,0.19,10.78,8.23,5082,7729,6126.6
124,0,39.52,39.55,1.89,1.9,7.59,2.25,2.43,0.93,3.25,2.92,0.66,0.68,4.9,4.29,1.77,101.53,101.02,5304,7867,6122.81
125,0,47.84,47.9,2.67,2.72,11.22,3.56,4.17,0.85,5.01,4.36,0.65,0.81,7.7,5.39,1.6,91.49,92.45,5218,8125,6107.19
