IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
88,0,563,563.06,16,16.47,85.8,399,419.0,0.95,34.79,30.67,12.65,11.43,2.75,2.68,1.89,108.43,98.86,4724,7118,5545.55
89,0,829,829.97,7,7.06,109.7,562,587.0,0.96,47.1,40.47,12.0,12.16,3.92,3.33,3.08,176.35,178.01,4934,7279,5790.39
90,0,1043,1043.7,17,17.03,103.05,499,532.0,0.94,43.86,38.22,12.73,11.5,3.45,3.32,0.82,46.85,45.91,5108,7886,6084.4
91,0,1109,1109.92,22,22.45,104.77,495,540.0,0.92,43.74,38.53,11.18,11.33,3.91,3.4,1.39,79.46,79.12,5228,7989,6126.65
93,0,1594,1594.27,8,8.35,54.87,204,218.0,0.94,21.02,17.77,9.85,9.8,2.13,1.81,0.44,25.35,26.4,5258,8194,6140.31
94,0,1691,1691.88,18,18.13,100.33,461,500.0,0.92,42.06,36.76,10.3,11.22,4.09,3.28,1.08,61.61,63.68,5206,8049,6105.31
95,0,586,586.16,39,39.19,182.17,903,1012.0,0.89,79.31,72.19,7.62,11.56,10.41,6.25,1.17,66.99,66.63,5023,7884,5951.75
96,0,1003,1003.97,18,18.4,110.12,569,612.0,0.93,46.23,40.78,11.4,12.45,4.05,3.28,0.68,38.85,38.38,4956,7719,5878.27
97,0,1142,1141.99,10,10.4,71.6,287,309.0,0.93,28.46,24.69,9.49,10.14,3.0,2.44,0.32,18.43,23.78,5339,7890,6178.37
98,0,125,125.22,10,10.24,92.53,406,441.0,0.92,38.47,34.12,10.2,10.43,3.77,3.27,0.16,8.97,8.65,5072,7607,6080.76
99,0,1622,1622.26,18,18.03,90.47,427,449.0,0.95,37.8,33.84,10.0,11.04,3.78,3.07,2.22,127.48,134.14,5372,7771,6269.22
100,0,1964,1964.93,10,10.87,89.36,399,434.0,0.92,35.9,31.84,10.2,11.07,3.52,2.88,2.92,167.12,168.19,5340,7427,6132.77
101,0,1174,1174.52,9,9.22,83.21,326,351.0,0.93,35.06,31.05,9.0,9.22,3.9,3.37,3.08,176.73,0.57,5315,8097,6262.71
102,0,1849,1849.43,14,14.69,76.67,326,346.0,0.94,31.4,26.52,11.4,10.7,2.75,2.48,0.65,37.23,38.4,5323,7985,6266.0
103,0,47,47.49,16,16.49,80.91,350,374.0,0.94,33.3,28.76,11.31,10.47,2.94,2.75,2.42,138.65,140.33,5148,7513,6023.22
104,0,71,71.66,19,19.42,83.5,358,385.0,0.93,33.84,29.74,9.43,10.52,3.59,2.83,0.97,55.84,55.68,5228,7531,6045.62
105,0,1239,1239.2,10,10.84,66.63,274,292.0,0.94,25.32,21.99,11.18,10.73,2.26,2.05,0.16,9.09,2.57,5213,7684,6197.61
106,0,1468,1468.19,12,12.75,77.11,315,338.0,0.93,31.62,27.15,10.44,10.12,3.03,2.68,0.32,18.43,15.53,5301,8050,6260.69
107,0,1533,1533.6,13,13.17,84.53,350,387.0,0.9,34.48,29.84,10.44,10.61,3.3,2.81,2.85,163.14,165.56,5504,7946,6372.23
108,0,1992,1992.92,19,19.81,77.25,328,351.0,0.93,31.38,27.13,11.7,10.48,2.68,2.59,1.96,112.48,118.45,5326,7688,6230.19
109,0,1776,1776.76,21,21.98,81.36,353,380.0,0.93,32.98,28.8,10.2,10.65,3.23,2.7,1.33,75.96,74.87,5248,7905,6185.13
110,0,1892,1892.17,14,14.42,68.77,279,298.0,0.94,27.31,23.02,12.08,10.53,2.26,2.19,2.73,156.25,153.5,5517,7399,6226.69
111,0,148,148.43,30,30.46,111.46,515,560.0,0.92,48.17,43.08,11.0,10.55,4.38,4.09,1.49,85.24,87.64,5301,7402,6052.82
112,0,618,617.95,32,32.75,128.81,603,674.0,0.89,55.36,48.41,10.44,11.47,5.3,4.22,1.92,110.07,109.83,5058,7887,6078.63
113,0,742,743.0,22,22.68,80.87,351,370.0,0.95,33.53,29.09,10.44,10.37,3.21,2.8,1.27,72.65,76.94,5264,7832,6154.28
114,0,1120,1120.73,34,34.58,129.36,627,679.0,0.92,55.58,49.93,10.2,11.12,5.45,4.49,1.43,81.72,84.82,5157,8165,6134.52
115,0,1335,1335.55,18,18.68,70.08,296,310.0,0.95,27.8,24.55,10.0,10.47,2.78,2.34,2.23,127.69,133.23,5309,7562,6231.11
116,0,1018,1018.77,23,23.16,102.47,493,527.0,0.94,43.42,37.77,11.4,11.32,3.81,3.34,0.67,38.45,36.6,4977,8054,5992.44
117,0,1287,1287.82,21,21.59,101.4,479,526.0,0.91,41.34,36.32,10.82,11.86,3.82,3.06,2.58,147.85,147.97,5130,8099,6215.97
118,0,1379,1379.15,31,31.41,120.12,537,584.0,0.92,51.43,45.66,9.85,10.37,5.22,4.4,1.11,63.43,62.08,5295,7855,6224.9
119,0,1059,1059.58,24,24.38,79.11,361,382.0,0.95,31.78,27.44,11.18,11.38,2.84,2.41,1.35,77.28,76.43,5078,7666,5939.32
120,0,99,99.03,19,19.67,85.94,387,414.0,0.93,35.11,30.53,10.44,11.05,3.36,2.76,2.79,160.02,163.27,5130,7628,6037.63
121,0,865,865.75,17,17.32,102.28,481,514.0,0.94,44.1,38.42,11.0,11.12,4.01,3.46,3.07,176.1,179.5,5110,7665,6034.46
122,0,1419,1419.86,22,22.02,100.08,472,506.0,0.93,41.63,36.39,13.42,11.27,3.1,3.23,0.42,24.1,23.09,5004,7966,6187.92
123,0,357,357.26,24,24.07,160.91,907,998.0,0.91,69.63,62.87,12.37,13.29,5.63,4.73,0.22,12.44,11.15,4630,7610,5522.49
124,0,1267,1267.09,22,22.56,90.08,393,423.0,0.93,37.16,32.78,9.85,10.51,3.77,3.12,2.73,156.19,154.38,5213,7814,6137.22
125,0,1356,1355.97,31,31.52,101.01,459,494.0,0.93,42.72,37.44,10.77,10.79,3.97,3.47,1.93,110.56,109.43,5017,7879,6142.28
126,0,1492,1492.01,17,17.47,73.21,313,327.0,0.96,29.61,25.62,11.18,10.54,2.65,2.43,0.2,11.69,7.1,5459,7951,6243.44
127,0,1528,1528.58,26,26.96,101.3,456,493.0,0.92,42.2,37.73,8.6,10.77,4.91,3.5,2.51,143.67,143.3,5342,8015,6288.89
128,0,1592,1592.35,20,20.7,93.36,424,457.0,0.93,38.6,34.36,10.44,10.92,3.7,3.15,0.29,16.56,14.25,5268,7926,6168.66
129,0,832,832.51,23,23.19,102.91,473,507.0,0.93,43.01,37.56,10.77,11.03,3.99,3.41,2.83,162.41,160.25,5093,7724,6002.21
130,0,1390,1390.3,34,34.06,113.64,507,551.0,0.92,48.02,42.4,10.3,10.54,4.66,4.02,1.02,58.63,61.73,5344,7770,6163.19
131,0,1645,1645.47,29,29.48,95.3,436,465.0,0.94,40.0,35.19,11.4,10.77,3.51,3.27,0.93,53.13,48.73,5229,7914,6158.31
132,0,1693,1693.01,39,38.81,133.78,654,720.0,0.91,58.18,50.67,11.18,11.72,5.2,4.32,1.07,61.23,60.12,5197,8095,6243.36
133,0,1955,1955.22,21,21.31,85.36,382,421.0,0.91,33.38,29.04,10.2,11.72,3.27,2.48,2.99,171.38,169.73,5417,7899,6183.85
134,0,125,125.03,26,26.43,91.15,402,437.0,0.92,37.2,32.78,10.0,10.75,3.72,3.05,0.63,36.25,34.45,5215,7655,6080.02
135,0,914,914.9,21,21.9,111.94,577,642.0,0.9,46.1,41.39,12.17,12.64,3.79,3.27,2.92,167.47,172.45,4810,7821,5849.78
136,0,1089,1089.15,36,36.6,134.17,715,763.0,0.94,58.73,51.98,11.31,12.24,5.19,4.25,2.32,132.93,133.39,4973,7972,6013.03
137,0,1163,1163.06,20,20.1,117.36,544,611.0,0.89,50.25,44.6,10.05,11.1,5.0,4.02,0.1,5.71,3.88,5296,7610,6196.38
138,0,689,689.25,33,33.22,101.3,486,515.0,0.94,42.72,37.73,11.66,11.18,3.66,3.37,2.14,122.57,125.55,5138,7912,6091.81
139,0,751,751.92,33,33.12,91.84,409,446.0,0.92,37.11,32.58,10.2,10.98,3.64,2.97,1.33,75.96,71.15,5048,7773,6106.25
140,0,1438,1438.39,26,26.97,82.33,361,382.0,0.95,34.06,29.17,11.4,10.62,2.99,2.75,0.7,40.24,39.51,5207,7835,6232.11
141,0,1864,1864.12,33,33.24,114.61,554,596.0,0.93,50.25,44.64,9.9,11.14,5.08,4.01,0.74,42.58,42.61,5316,7605,6203.97
142,0,1937,1936.9,37,37.65,109.01,516,569.0,0.91,46.53,40.64,11.18,11.38,4.16,3.57,1.72,98.65,101.33,5204,8198,6252.04
143,0,40,40.24,26,26.31,79.25,337,361.0,0.93,32.25,28.53,8.94,10.33,3.61,2.76,2.62,150.26,149.86,5222,7710,6107.32
144,0,159,159.64,36,36.67,96.87,427,462.0,0.92,41.3,36.58,10.05,10.27,4.11,3.56,1.45,83.05,85.67,5274,7382,6134.93
145,0,1219,1219.73,23,23.82,91.7,420,452.0,0.93,37.66,33.1,11.18,11.06,3.37,2.99,0.19,10.71,9.67,5219,8227,6141.59
146,0,1672,1672.51,32,32.53,87.25,386,421.0,0.92,34.79,30.28,10.77,11.19,3.23,2.71,1.89,108.43,113.06,5098,7653,6103.31
