IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
23,0,1825,1826.1,19,19.74,122.95,609,683.0,0.89,52.5,44.91,9.22,12.8,5.69,3.51,0.87,49.64,50.16,5975,9274,7006.75
24,0,1529,1529.79,13,13.08,90.08,421,444.0,0.95,36.69,32.11,11.7,11.38,3.13,2.82,2.84,162.55,157.18,5904,9918,7210.99
25,0,905,905.3,11,11.2,91.36,443,473.0,0.94,37.12,32.11,12.0,11.86,3.09,2.71,0.08,4.64,2.85,5710,8929,6846.42
26,0,1690,1690.25,18,18.64,140.47,711,781.0,0.91,60.54,53.4,10.77,12.09,5.62,4.42,0.39,22.33,21.87,5738,8985,6713.23
27,0,1482,1482.82,21,21.73,94.33,445,472.0,0.94,39.45,34.44,10.3,11.28,3.83,3.05,1.04,59.53,60.1,6119,9610,7223.91
28,0,1404,1404.9,17,17.45,84.08,406,423.0,0.96,34.41,29.81,12.21,11.79,2.82,2.53,0.62,35.54,34.33,5774,9558,7004.37
29,0,798,798.75,18,18.41,109.6,561,601.0,0.93,45.61,40.4,12.37,12.21,3.69,3.31,0.27,15.26,13.78,5611,8728,6645.37
30,0,1466,1466.49,24,24.64,81.84,363,391.0,0.93,32.7,28.29,12.08,11.09,2.71,2.55,1.16,66.57,64.69,6063,9675,7284.33
31,0,1494,1494.94,26,26.35,91.74,419,449.0,0.93,37.44,32.97,12.21,11.12,3.07,2.96,0.98,55.89,58.89,5979,9100,7203.34
32,0,1880,1880.02,28,28.06,115.44,621,650.0,0.96,49.58,43.38,12.81,12.39,3.87,3.5,2.3,131.73,133.32,5733,9372,6780.08
33,0,1441,1441.81,17,17.63,99.11,485,520.0,0.93,41.77,36.72,11.18,11.56,3.74,3.18,0.19,11.04,7.21,5974,9354,7087.35
34,0,977,977.91,23,23.44,102.33,488,520.0,0.94,41.79,37.11,11.7,11.53,3.57,3.22,2.77,158.96,156.08,5634,8556,6477.85
35,0,1792,1792.79,29,29.77,128.02,646,691.0,0.93,55.47,49.68,10.82,11.56,5.13,4.3,0.59,33.98,34.53,5749,9148,6876.88
36,0,755,755.43,20,20.82,103.11,555,588.0,0.94,43.19,37.43,13.15,12.85,3.28,2.91,0.09,5.31,4.11,5342,8195,6218.96
37,0,1830,1830.86,33,33.77,120.37,579,645.0,0.9,51.4,45.26,7.81,11.65,6.58,3.89,0.92,52.91,53.16,5989,9614,7158.05
38,0,892,892.23,25,25.18,106.08,543,577.0,0.94,43.01,38.46,12.65,12.46,3.4,3.09,2.83,162.41,160.9,5532,9130,6722.94
39,0,1522,1522.87,24,23.97,87.01,409,437.0,0.94,34.54,30.07,12.65,11.81,2.73,2.55,2.76,157.89,156.23,5921,9344,7054.98
40,0,1619,1619.31,27,27.52,111.05,515,563.0,0.91,47.01,41.83,8.94,11.12,5.26,3.76,0.51,29.29,29.46,5959,9349,7120.56
41,0,847,847.09,33,33.28,91.7,438,469.0,0.93,37.34,33.1,11.18,11.57,3.34,2.86,1.71,97.7,94.98,5805,9060,6870.25
42,0,1363,1364.08,32,31.96,89.15,438,461.0,0.95,35.85,31.65,12.53,12.04,2.86,2.63,0.53,30.14,32.62,5623,8854,6713.88
43,0,1560,1560.95,27,27.49,91.46,458,481.0,0.95,37.34,33.02,12.17,12.07,3.07,2.74,0.13,7.7,2.64,5860,9291,6981.18
44,0,973,973.31,35,35.71,97.4,467,500.0,0.93,39.82,35.27,10.3,11.7,3.87,3.02,2.64,151.5,149.96,5601,8803,6707.51
45,0,821,821.72,33,33.71,99.84,491,523.0,0.94,41.44,35.91,12.65,11.88,3.28,3.02,2.8,160.25,161.29,5748,8919,6779.11
46,0,1409,1409.59,32,32.83,85.6,392,421.0,0.93,33.84,29.59,11.4,11.56,2.97,2.56,0.33,18.97,18.91,5922,9362,7177.04
47,0,1916,1917.01,32,32.66,118.18,651,685.0,0.95,50.45,44.41,12.17,12.83,4.15,3.46,2.9,166.24,169.63,5549,8502,6433.84
48,0,1443,1443.26,39,39.54,85.15,404,425.0,0.95,35.23,30.53,11.66,11.4,3.02,2.68,0.97,55.41,52.03,6097,9462,7152.79
49,0,1425,1425.41,41,41.28,90.81,419,448.0,0.94,37.54,33.04,11.31,11.12,3.32,2.97,0.84,48.24,48.26,6136,9658,7296.5
50,0,1502,1502.17,40,40.09,85.98,394,415.0,0.95,34.83,30.82,10.0,11.21,3.48,2.75,0.89,50.83,48.19,6056,9644,7227.85
51,0,627,627.04,35,35.18,83.94,412,434.0,0.95,33.24,28.98,12.65,12.27,2.63,2.36,0.37,21.16,15.85,5414,8336,6349.36
52,0,805,805.05,41,41.57,107.64,518,559.0,0.93,44.1,39.04,11.66,11.65,3.78,3.35,2.57,147.03,149.32,5728,9365,7011.09
53,0,1005,1005.6,46,46.07,87.6,425,449.0,0.95,34.99,30.35,11.66,12.14,3.0,2.5,2.11,120.96,114.29,5524,8353,6428.4
54,0,768,768.01,48,48.14,104.95,563,588.0,0.96,44.2,39.39,12.81,12.53,3.45,3.14,0.91,52.35,47.02,5579,8653,6576.62
55,0,1840,1839.95,56,56.63,120.77,626,676.0,0.93,52.17,46.16,11.18,12.07,4.67,3.82,1.36,77.83,80.32,6028,9405,7075.69
56,0,1631,1631.28,40,40.04,98.53,496,527.0,0.94,40.79,36.0,12.17,12.08,3.35,2.98,0.2,11.31,8.87,5833,9467,6968.68
