IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
39,0,83.85,83.86,0.78,0.82,9.9,3.27,3.62,0.9,4.36,3.8,0.74,0.77,5.88,4.95,2.84,162.65,165.16,8045,15604,10755.17
40,0,87.17,87.22,1.1,1.14,10.16,3.36,3.65,0.92,4.35,3.95,0.76,0.76,5.71,5.2,2.76,158.04,157.13,8294,15754,10698.34
41,0,126.1,126.12,1.89,1.91,8.77,3.16,3.27,0.97,3.81,3.56,0.79,0.8,4.81,4.44,1.71,97.85,91.32,7007,11916,8386.39
42,0,67.02,67.05,1.82,1.82,10.37,3.76,3.95,0.95,4.65,4.23,0.74,0.8,6.32,5.31,0.83,47.83,45.82,7319,12998,8974.59
43,0,72.48,72.53,1.1,1.15,9.65,2.92,3.3,0.89,4.15,3.75,0.62,0.71,6.73,5.25,0.3,17.3,19.11,8747,14617,10378.58
44,0,99.12,99.18,1.89,1.94,9.42,3.26,3.5,0.93,4.11,3.74,0.74,0.78,5.55,4.78,2.26,129.23,130.15,8089,15728,10346.95
45,0,107.19,107.21,1.36,1.4,10.94,3.84,4.1,0.94,4.73,4.29,0.76,0.8,6.22,5.38,0.37,20.92,20.47,7235,14866,9573.26
46,0,42.9,42.95,2.08,2.12,9.58,3.58,3.82,0.94,4.09,3.66,0.9,0.87,4.53,4.19,2.14,122.68,122.24,7061,11919,8475.84
47,0,7.48,7.51,2.41,2.45,9.78,3.38,3.65,0.93,4.16,3.77,0.74,0.8,5.62,4.69,1.82,104.47,107.08,6882,11526,8358.74
48,0,109.14,109.15,1.89,1.92,7.25,2.41,2.54,0.95,3.07,2.71,0.79,0.78,3.86,3.48,1.01,57.99,55.83,7559,14690,9453.44
49,0,80.21,80.28,1.1,1.14,9.77,3.24,3.57,0.91,4.32,3.99,0.73,0.75,5.95,5.33,0.12,6.91,3.69,8545,16172,10985.42
50,0,34.58,34.58,2.34,2.35,7.67,2.49,2.67,0.93,3.2,2.89,0.79,0.76,4.05,3.78,1.67,95.83,99.09,7204,12575,8703.32
51,0,90.67,90.69,2.21,2.27,8.79,2.89,3.11,0.93,3.87,3.51,0.65,0.74,5.95,4.74,2.28,130.91,134.6,8893,16300,10999.16
52,0,78.33,78.33,2.08,2.14,11.47,3.94,4.42,0.89,4.97,4.43,0.64,0.83,7.77,5.32,2.7,154.44,153.62,8479,16615,10789.2
53,0,110.05,110.11,2.08,2.08,6.81,2.17,2.27,0.96,2.89,2.59,0.74,0.74,3.89,3.51,0.95,54.16,53.43,7213,13455,9120.01
54,0,3.71,3.74,3.25,3.3,10.82,4.07,4.3,0.95,4.67,4.19,0.82,0.86,5.68,4.87,1.24,71.31,72.19,7182,12359,8543.92
55,0,101.14,101.2,2.79,2.82,9.79,3.52,3.84,0.91,4.29,3.9,0.74,0.83,5.78,4.68,2.43,139.3,136.03,7183,15883,9803.41
56,0,31.01,31.05,2.86,2.89,8.79,2.94,3.17,0.93,3.71,3.34,0.79,0.78,4.68,4.26,2.14,122.86,119.71,6958,13460,8722.03
