IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
2,0,995,995.63,12,12.26,103.98,456,492.0,0.93,45.18,37.87,11.18,10.5,4.04,3.61,2.66,152.3,152.63,1649,2236,1858.22
3,0,1665,1665.11,7,6.92,108.28,460,507.0,0.91,47.38,40.81,10.2,10.11,4.65,4.04,3.01,172.72,177.94,1643,2142,1834.46
4,0,1715,1715.82,6,6.87,118.18,554,591.0,0.94,51.48,44.98,11.18,10.99,4.6,4.09,0.14,7.82,4.89,1627,2140,1842.18
5,0,54,55.01,15,15.52,107.64,505,543.0,0.93,46.07,39.51,11.18,11.19,4.12,3.53,0.47,27.12,28.97,1645,2214,1870.31
6,0,1313,1313.17,29,30.07,78.01,287,309.0,0.93,33.24,29.28,9.06,8.7,3.67,3.37,1.69,96.91,92.62,1638,2238,1888.14
7,0,1779,1779.98,28,28.99,111.88,465,529.0,0.88,47.71,42.63,9.43,10.07,5.06,4.24,0.58,33.02,32.02,1631,2166,1871.66
8,0,1292,1292.63,31,31.38,85.74,388,409.0,0.95,35.36,30.61,12.53,10.93,2.82,2.8,2.07,118.74,121.8,1615,2245,1869.27
9,0,1248,1247.79,42,42.76,122.27,466,539.0,0.86,53.81,45.74,9.22,10.19,5.84,4.49,0.84,48.01,45.16,1653,2100,1861.82
10,0,363,363.4,37,37.22,64.87,223,243.0,0.92,27.51,23.15,9.49,8.48,2.9,2.73,1.24,70.91,72.42,1637,2062,1830.45
11,0,174,174.18,46,46.63,100.23,464,492.0,0.94,42.44,36.8,10.82,10.99,3.92,3.35,0.97,55.56,55.07,1617,2254,1875.07
12,0,1755,1755.08,53,53.46,103.4,501,540.0,0.93,43.05,37.77,10.3,11.63,4.18,3.25,2.11,120.74,119.54,1609,2316,1867.94
14,0,1528,1528.0,61,61.4,127.05,596,717.0,0.83,50.96,41.71,15.52,14.99,3.28,2.78,1.85,105.95,106.31,1603,2152,1859.31
15,0,565,565.14,60,60.95,109.54,343,411.0,0.83,48.84,41.3,7.07,7.92,6.91,5.22,0.83,47.49,45.84,1665,2054,1841.9
