IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
2,0,64.67,64.72,0.78,0.8,6.76,1.93,2.08,0.93,2.94,2.46,0.73,0.68,4.04,3.61,2.66,152.3,152.63,1649,2236,1858.22
3,0,108.23,108.23,0.46,0.45,7.04,1.94,2.14,0.91,3.08,2.65,0.66,0.66,4.65,4.04,3.01,172.72,177.94,1643,2142,1834.46
4,0,111.48,111.53,0.39,0.45,7.68,2.34,2.5,0.94,3.35,2.92,0.73,0.71,4.6,4.09,0.14,7.82,4.89,1627,2140,1842.18
5,0,3.51,3.58,0.98,1.01,7.0,2.13,2.29,0.93,2.99,2.57,0.73,0.73,4.12,3.53,0.47,27.12,28.97,1645,2214,1870.31
6,0,85.34,85.36,1.89,1.95,5.07,1.21,1.31,0.93,2.16,1.9,0.59,0.57,3.67,3.37,1.69,96.91,92.62,1638,2238,1888.14
7,0,115.64,115.7,1.82,1.88,7.27,1.96,2.24,0.88,3.1,2.77,0.61,0.65,5.06,4.24,0.58,33.02,32.02,1631,2166,1871.66
8,0,83.98,84.02,2.02,2.04,5.57,1.64,1.73,0.95,2.3,1.99,0.81,0.71,2.82,2.8,2.07,118.74,121.8,1615,2245,1869.27
9,0,81.12,81.11,2.73,2.78,7.95,1.97,2.28,0.86,3.5,2.97,0.6,0.66,5.84,4.49,0.84,48.01,45.16,1653,2100,1861.82
10,0,23.6,23.62,2.41,2.42,4.22,0.94,1.03,0.92,1.79,1.5,0.62,0.55,2.9,2.73,1.24,70.91,72.42,1637,2062,1830.45
11,0,11.31,11.32,2.99,3.03,6.51,1.96,2.08,0.94,2.76,2.39,0.7,0.71,3.92,3.35,0.97,55.56,55.07,1617,2254,1875.07
12,0,114.08,114.08,3.45,3.47,6.72,2.12,2.28,0.93,2.8,2.46,0.67,0.76,4.18,3.25,2.11,120.74,119.54,1609,2316,1867.94
14,0,99.32,99.32,3.97,3.99,8.26,2.52,3.03,0.83,3.31,2.71,1.01,0.97,3.28,2.78,1.85,105.95,106.31,1603,2152,1859.31
15,0,36.73,36.73,3.9,3.96,7.12,1.45,1.74,0.83,3.17,2.68,0.46,0.51,6.91,5.22,0.83,47.49,45.84,1665,2054,1841.9
16,0,74.69,74.74,3.83,3.89,5.54,1.55,1.66,0.94,2.3,1.99,0.67,0.67,3.43,2.97,2.07,118.74,117.21,1638,2119,1870.19
17,0,63.9,63.93,3.58,3.57,7.7,2.4,2.57,0.93,3.33,2.9,0.73,0.72,4.58,4.03,2.93,167.59,167.52,1581,2200,1866.81
18,0,9.23,9.26,4.16,4.21,7.04,2.18,2.3,0.94,3.05,2.7,0.74,0.7,4.11,3.86,0.88,50.19,49.44,1630,2240,1878.29
19,0,121.81,121.86,4.29,4.29,7.2,2.36,2.49,0.95,3.06,2.65,0.73,0.77,4.2,3.43,2.08,119.29,118.58,1644,2353,1901.24
20,0,85.67,85.73,4.03,4.08,5.85,1.82,1.91,0.95,2.49,2.1,0.74,0.75,3.36,2.81,2.28,130.76,132.39,1633,2244,1876.35
22,0,131.17,131.19,5.07,5.08,9.77,3.42,3.67,0.93,4.24,3.78,0.81,0.81,5.21,4.66,2.05,117.35,118.88,1602,2386,1870.83
23,0,123.17,123.23,5.13,5.14,7.68,2.57,2.75,0.94,3.26,2.88,0.73,0.78,4.49,3.7,1.79,102.65,101.45,1657,2370,1904.43
24,0,95.36,95.37,4.68,4.68,8.34,2.5,2.75,0.91,3.64,3.18,0.58,0.71,6.25,4.5,2.64,151.14,150.03,1593,2120,1827.83
25,0,100.56,100.55,5.13,5.19,6.83,1.95,2.11,0.93,2.9,2.59,0.66,0.67,4.38,3.86,1.84,105.59,101.25,1645,2196,1880.59
26,0,71.11,71.14,5.07,5.1,7.45,2.03,2.23,0.91,3.27,2.8,0.65,0.63,5.03,4.46,0.72,40.97,41.45,1682,2153,1862.92
28,0,55.58,55.63,4.55,4.59,6.66,1.64,1.82,0.9,3.02,2.44,0.66,0.58,4.56,4.18,0.15,8.65,8.13,1628,2111,1836.43
29,0,128.96,128.97,5.13,5.2,7.29,2.24,2.44,0.92,3.09,2.67,0.7,0.74,4.41,3.62,2.75,157.75,154.93,1627,2336,1891.55
30,0,12.42,12.48,5.4,5.45,7.76,2.29,2.53,0.9,3.29,2.87,0.76,0.71,4.33,4.02,2.67,152.93,157.9,1629,2322,1906.83
31,0,10.27,10.3,6.37,6.44,7.81,2.09,2.42,0.86,3.4,2.98,0.66,0.69,5.13,4.35,1.69,96.58,93.17,1665,2334,1915.79
32,0,76.89,76.91,6.24,6.24,8.37,2.73,2.99,0.91,3.6,3.11,0.76,0.77,4.73,4.03,0.35,20.07,21.57,1588,2209,1875.46
33,0,60.91,60.97,6.17,6.27,8.61,2.67,3.09,0.86,3.77,3.22,0.65,0.83,5.8,3.89,0.03,1.97,1.36,1639,2253,1848.03
34,0,121.23,121.26,8.19,8.22,10.64,3.56,4.12,0.86,4.64,4.11,0.54,0.84,8.66,4.88,1.37,78.69,77.8,1673,2234,1890.07
35,0,0.84,0.87,8.0,8.04,9.06,2.39,2.78,0.86,3.93,3.53,0.54,0.63,7.33,5.57,1.23,70.67,72.51,1612,2111,1845.2
36,0,54.02,54.05,6.44,6.45,4.05,0.68,0.78,0.87,1.77,1.44,0.39,0.44,4.55,3.24,0.15,8.43,5.33,1671,2007,1833.06
37,0,11.7,11.72,7.74,7.76,7.61,2.13,2.35,0.9,3.26,2.91,0.64,0.66,5.09,4.42,1.98,113.5,113.71,1640,2281,1920.64
38,0,112.12,112.14,6.76,6.8,8.54,2.96,3.17,0.93,3.75,3.28,0.79,0.79,4.74,4.14,2.98,171.03,173.46,1603,2186,1854.62
39,0,45.89,45.92,7.74,7.75,7.16,2.2,2.33,0.94,3.14,2.69,0.73,0.7,4.32,3.85,2.91,166.83,168.13,1611,2163,1853.25
40,0,42.12,42.14,8.0,8.01,8.28,2.73,2.91,0.94,3.67,3.21,0.79,0.74,4.64,4.32,3.02,172.87,173.55,1637,2258,1876.06
41,0,118.17,118.18,8.38,8.44,5.2,1.54,1.59,0.97,2.15,1.89,0.74,0.7,2.9,2.68,0.96,54.87,48.76,1635,2146,1866.23
42,0,71.24,71.3,8.52,8.57,5.83,1.78,1.88,0.95,2.46,2.1,0.73,0.73,3.39,2.89,2.93,167.8,171.57,1649,2177,1865.59
43,0,8.52,8.53,9.75,9.78,7.21,2.01,2.19,0.92,3.13,2.86,0.65,0.63,4.82,4.55,1.65,94.76,91.93,1590,2380,1910.67
44,0,126.3,126.35,9.81,9.86,7.24,2.33,2.46,0.95,3.14,2.78,0.73,0.73,4.33,3.79,1.45,82.87,85.64,1592,2203,1856.87
45,0,73.64,73.66,8.91,8.97,5.62,1.52,1.62,0.94,2.37,1.98,0.73,0.67,3.26,2.95,2.98,170.54,172.98,1620,2153,1869.26
46,0,46.54,46.59,9.36,9.38,4.89,1.13,1.21,0.93,2.13,1.73,0.65,0.59,3.28,2.94,0.92,52.43,50.2,1680,2096,1862.09
47,0,7.41,7.43,11.31,11.38,9.82,3.12,3.48,0.9,4.36,3.89,0.54,0.73,8.13,5.33,1.39,79.7,81.27,1661,2437,1915.81
48,0,116.61,116.67,10.21,10.21,5.35,1.61,1.69,0.96,2.2,1.91,0.79,0.73,2.77,2.61,0.97,55.84,53.23,1653,2224,1906.86
