IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
114,0,641,641.85,21,21.32,106.81,488,525.0,0.93,44.72,39.45,9.85,10.78,4.54,3.66,2.03,116.57,117.07,5113,8282,6100.39
115,0,670,670.13,13,13.84,107.3,471,507.0,0.93,45.62,40.16,10.77,10.31,4.24,3.9,2.69,154.0,149.81,5368,8079,6121.77
116,0,882,882.85,11,11.31,79.25,372,388.0,0.96,32.25,27.7,12.53,11.5,2.57,2.41,0.52,29.74,30.88,4906,7693,5912.76
117,0,283,283.12,19,19.24,87.6,391,419.0,0.93,35.74,31.15,11.7,10.89,3.05,2.86,1.26,72.07,69.82,4976,7337,5919.29
118,0,325,325.29,17,17.93,97.88,475,501.0,0.95,41.11,36.77,11.4,11.35,3.61,3.24,0.85,48.95,46.02,4808,7166,5689.76
119,0,833,834.0,25,25.24,134.99,616,702.0,0.88,58.9,53.16,9.22,10.78,6.39,4.93,0.87,49.82,47.73,5296,8485,6302.84
121,0,1214,1215.06,33,34.09,145.5,693,830.0,0.83,61.4,54.02,8.06,12.6,7.62,4.29,1.46,83.45,84.03,5218,8386,6163.82
122,0,1966,1966.55,11,11.05,113.94,649,679.0,0.96,48.51,41.06,16.12,13.46,3.01,3.05,0.14,8.3,5.29,4946,8321,6146.75
123,0,500,499.89,12,12.14,145.36,674,748.0,0.9,64.13,58.85,9.22,10.36,6.96,5.68,0.19,10.78,8.23,5082,7729,6126.6
124,0,608,608.44,29,29.17,116.77,533,576.0,0.93,50.01,44.88,10.2,10.45,4.9,4.29,1.77,101.53,101.02,5304,7867,6122.81
125,0,736,736.89,41,41.78,172.67,842,987.0,0.85,77.03,67.01,10.0,12.42,7.7,5.39,1.6,91.49,92.45,5218,8125,6107.19
126,0,791,791.72,30,30.03,126.43,564,646.0,0.87,54.13,48.76,8.25,10.67,6.56,4.57,1.37,78.27,80.02,5265,7871,6217.99
127,0,999,998.91,24,24.67,121.92,596,626.0,0.95,53.76,47.53,9.9,11.08,5.43,4.29,0.76,43.49,45.52,5216,8320,6158.85
128,0,169,169.75,23,23.31,93.25,416,448.0,0.93,38.33,33.53,11.4,10.81,3.36,3.1,1.31,74.88,70.49,5333,8108,6193.96
129,0,353,353.73,27,27.65,116.81,529,572.0,0.92,49.77,43.95,10.77,10.56,4.62,4.16,1.18,67.56,66.22,5155,7683,6131.26
130,0,1470,1470.29,19,19.98,136.71,714,781.0,0.91,58.31,50.56,11.7,12.56,4.98,4.03,2.75,157.83,157.11,5091,8137,6233.4
131,0,1625,1625.4,21,21.1,79.94,368,388.0,0.95,31.38,27.49,11.7,11.59,2.68,2.37,1.96,112.48,108.84,4905,7883,6046.58
133,0,227,227.42,31,31.3,132.51,702,761.0,0.92,56.4,50.59,11.4,12.44,4.95,4.07,0.92,52.93,52.47,4956,7859,5958.59
134,0,213,213.03,28,28.97,124.85,607,653.0,0.93,54.67,48.28,10.0,11.17,5.47,4.32,0.88,50.19,50.55,5177,8120,6120.04
135,0,1840,1840.33,25,25.31,138.27,689,747.0,0.92,59.68,52.86,11.66,11.62,5.12,4.55,0.55,31.29,31.52,5072,8170,6208.34
136,0,1081,1081.75,24,24.13,77.46,338,364.0,0.93,30.41,27.35,11.18,10.84,2.72,2.52,1.41,80.54,82.99,5099,7886,6040.88
137,0,1284,1284.86,23,23.6,87.88,394,414.0,0.95,35.81,31.98,11.4,10.8,3.14,2.96,0.94,54.09,47.0,5129,8349,6251.03
138,0,1425,1424.97,17,17.91,129.36,664,713.0,0.93,55.32,49.89,12.37,11.73,4.47,4.25,2.92,167.47,171.24,5190,8194,6237.1
139,0,1664,1664.88,15,15.82,92.53,407,438.0,0.93,39.2,33.97,10.05,10.54,3.9,3.22,3.04,174.14,172.29,5435,8279,6279.89
140,0,1911,1911.39,31,31.01,105.11,502,536.0,0.94,45.12,39.38,11.18,11.02,4.04,3.57,1.79,102.8,99.73,5255,7867,6194.01
141,0,104,104.44,25,25.11,91.05,430,446.0,0.96,37.8,33.59,11.4,11.17,3.32,3.01,2.22,127.48,132.21,5052,8081,6047.2
142,0,431,433.68,49,50.41,190.37,934,1268.0,0.74,82.2,68.03,8.06,17.88,10.2,3.8,1.4,80.19,78.35,5128,7931,6125.41
143,0,452,452.87,43,42.99,152.77,702,808.0,0.87,67.19,60.3,9.0,11.17,7.47,5.4,1.65,94.27,91.99,5242,7668,6172.88
144,0,665,665.63,24,24.04,109.05,488,537.0,0.91,45.18,40.36,10.3,10.96,4.39,3.68,2.66,152.3,149.89,5360,7978,6141.49
145,0,1013,1013.4,27,27.85,113.44,571,609.0,0.94,48.27,43.56,11.4,11.81,4.23,3.69,0.7,39.96,43.14,4976,8076,5986.67
146,0,1699,1699.48,21,21.7,84.74,384,412.0,0.93,34.67,30.17,10.82,11.28,3.21,2.67,2.56,146.77,144.79,5367,7970,6445.46
147,0,1847,1847.25,34,34.39,187.04,956,1108.0,0.86,81.84,73.12,10.82,12.59,7.57,5.81,0.57,32.52,31.4,5113,8020,6133.01
148,0,1577,1577.24,25,25.71,98.12,477,508.0,0.94,39.66,35.45,10.82,11.93,3.67,2.97,2.55,146.31,138.05,5096,7760,6071.58
150,0,153,153.31,38,38.08,120.67,566,612.0,0.92,51.92,46.11,11.4,10.8,4.55,4.27,1.3,74.36,75.67,5236,8089,6163.98
151,0,1780,1780.6,37,36.97,163.38,857,962.0,0.89,71.85,64.66,10.82,12.37,6.64,5.23,0.61,34.8,36.76,5029,8032,6126.08
152,0,183,183.3,29,29.49,88.23,390,416.0,0.94,36.06,32.07,10.82,10.67,3.33,3.01,0.98,56.31,51.98,5207,8077,6149.27
153,0,463,463.86,39,39.03,119.11,555,599.0,0.93,51.09,45.62,11.0,10.82,4.64,4.22,1.63,93.37,89.97,5295,7931,6120.87
154,0,977,977.03,30,31.08,100.95,464,493.0,0.94,42.64,37.96,10.0,10.85,4.26,3.5,0.89,50.71,45.45,5340,7996,6219.94
155,0,1502,1502.31,28,28.93,81.01,347,368.0,0.94,33.12,28.91,11.66,10.37,2.84,2.79,2.07,118.89,115.2,5277,7694,6076.51
156,0,1767,1767.78,21,21.74,90.53,421,453.0,0.93,36.67,32.19,11.18,11.44,3.28,2.81,2.95,169.0,171.38,5239,7822,6276.67
157,0,74,74.02,29,29.75,101.64,481,512.0,0.94,43.27,37.95,10.82,11.01,4.0,3.45,2.55,146.31,144.17,5072,8307,6069.88
158,0,137,137.74,38,38.67,110.04,535,566.0,0.95,47.1,42.51,11.0,11.32,4.28,3.76,1.63,93.65,88.91,5254,7946,6121.5
159,0,497,497.2,23,23.63,122.53,572,611.0,0.94,53.94,48.32,10.2,10.38,5.29,4.66,0.19,10.68,8.3,5359,7321,6040.08
160,0,562,562.83,28,28.03,108.33,499,537.0,0.93,44.94,39.91,10.77,11.05,4.17,3.61,0.36,20.85,21.37,5190,7896,6057.7
161,0,1975,1975.37,34,34.28,107.54,522,556.0,0.94,45.61,40.13,11.4,11.36,4.0,3.53,0.91,52.13,53.1,4882,8164,6104.84
162,0,710,710.47,36,36.53,114.85,569,599.0,0.95,49.58,44.68,9.9,11.31,5.01,3.95,0.73,41.73,45.54,5145,7742,6124.74
163,0,1647,1647.53,25,25.05,77.11,343,368.0,0.93,30.81,26.79,11.18,11.25,2.76,2.38,2.91,166.87,168.83,5097,7899,6134.59
164,0,766,766.88,40,40.58,108.43,471,511.0,0.92,45.71,40.85,9.22,10.14,4.96,4.03,1.39,79.92,76.61,5428,7675,6244.18
165,0,857,857.41,32,32.34,81.15,365,376.0,0.97,33.97,29.89,9.9,10.6,3.43,2.82,0.83,47.39,44.1,5132,7903,6016.22
166,0,1192,1192.77,41,41.1,116.81,561,608.0,0.92,48.88,43.77,11.66,11.53,4.19,3.8,2.11,120.76,116.99,5029,8032,6077.69
167,0,1245,1245.73,31,31.75,121.4,567,628.0,0.9,50.7,45.32,10.77,11.33,4.71,4.0,2.76,157.99,156.95,5257,7854,6169.76
168,0,1939,1939.54,25,25.66,113.11,561,600.0,0.94,47.17,42.11,13.15,11.74,3.59,3.59,0.08,4.86,1.16,5132,8233,6233.38
169,0,29,29.57,33,33.32,133.98,616,713.0,0.86,57.01,50.72,9.49,11.47,6.01,4.42,0.38,21.61,19.19,5229,8080,6136.75
170,0,193,192.98,35,35.27,89.4,384,411.0,0.93,37.01,33.18,10.0,10.22,3.7,3.24,0.9,51.58,51.55,5227,8115,6083.55
171,0,1519,1519.35,41,41.55,106.91,495,535.0,0.93,44.94,39.69,11.7,11.05,3.84,3.59,1.93,110.85,111.79,5156,7770,6146.98
172,0,1337,1337.84,29,29.41,138.77,742,821.0,0.9,59.68,52.83,10.2,12.81,5.85,4.12,2.99,171.33,172.8,4983,7854,6122.2
174,0,387,387.24,37,37.72,85.84,360,381.0,0.94,35.78,31.55,9.85,9.99,3.63,3.16,1.11,63.43,63.9,5265,7881,6181.77
175,0,692,692.34,37,37.59,99.3,465,496.0,0.94,41.87,37.21,11.4,10.95,3.67,3.4,0.7,40.16,41.98,5266,8031,6184.31
176,0,808,808.37,37,37.94,89.64,401,420.0,0.95,37.64,33.49,11.4,10.46,3.3,3.2,0.88,50.39,50.22,5042,8182,6178.24
177,0,943,942.63,51,51.6,177.28,870,1024.0,0.85,77.99,69.08,9.22,12.53,8.46,5.51,2.28,130.84,130.17,4953,7914,6213.55
178,0,1807,1807.83,36,36.79,83.01,369,396.0,0.93,33.62,29.33,12.53,10.99,2.68,2.67,1.04,59.62,64.31,5137,8052,6194.45
179,0,1973,1973.39,53,52.88,187.91,940,1050.0,0.9,85.63,77.62,8.49,11.44,10.09,6.79,0.83,47.37,45.04,4914,8030,6079.18
180,0,374,374.07,39,39.47,88.67,372,399.0,0.93,37.22,32.1,10.3,10.05,3.61,3.19,1.03,59.3,60.61,5488,7426,6315.69
181,0,526,526.25,30,30.8,87.11,400,431.0,0.93,34.79,31.02,10.44,11.42,3.33,2.72,0.32,18.43,12.47,5221,7948,6096.9
182,0,1371,1370.82,38,37.03,225.2,1252,1656.0,0.76,99.14,81.6,12.17,18.97,8.15,4.3,0.15,8.7,10.6,5007,8464,6245.9
183,0,1680,1680.04,28,28.19,80.87,334,356.0,0.94,34.01,29.76,10.0,9.79,3.4,3.04,0.03,1.68,176.31,5282,7770,6045.5
185,0,242,242.3,43,43.52,108.47,544,613.0,0.89,44.65,38.74,10.82,13.29,4.13,2.92,0.98,55.95,56.14,5029,7991,6068.1
186,0,320,320.67,42,42.27,100.47,461,491.0,0.94,42.72,37.6,10.82,10.71,3.95,3.51,1.0,57.43,55.33,5208,7928,6054.69
187,0,1150,1150.21,38,38.87,104.12,526,557.0,0.94,43.6,38.55,12.21,11.94,3.57,3.23,0.64,36.61,37.15,4975,7823,5981.94
188,0,1572,1572.04,38,38.06,99.4,464,491.0,0.95,41.88,36.84,10.82,11.08,3.87,3.33,2.56,146.69,147.06,5295,7678,6177.84
189,0,115,115.5,66,66.76,213.18,1074,1185.0,0.91,94.34,86.13,11.66,11.18,8.09,7.7,2.13,122.01,120.07,4976,8137,6115.75
190,0,890,890.22,35,35.18,125.01,636,713.0,0.89,52.77,47.53,10.2,12.57,5.17,3.78,0.17,9.82,8.31,4929,7866,5960.32
191,0,1448,1448.14,32,32.68,126.53,595,655.0,0.91,55.15,49.01,10.0,10.91,5.51,4.49,3.07,175.84,175.52,5035,8174,6227.51
192,0,633,633.71,45,45.3,90.38,411,438.0,0.94,37.34,33.87,11.18,10.71,3.34,3.16,1.71,97.7,91.1,5193,7780,6106.73
193,0,958,958.68,52,51.99,140.17,663,725.0,0.91,61.03,54.53,12.21,10.86,5.0,5.02,2.18,124.99,125.18,5373,8202,6256.08
194,0,125,125.99,47,47.97,94.28,417,451.0,0.92,39.01,34.41,10.0,10.86,3.9,3.17,1.55,88.53,90.62,5102,7868,5992.65
195,0,284,284.8,48,48.71,109.98,537,574.0,0.94,46.1,40.48,11.18,11.64,4.12,3.48,1.15,65.66,65.61,5128,7968,6137.29
196,0,332,332.69,50,50.87,114.91,522,570.0,0.92,48.38,43.06,10.44,10.79,4.63,3.99,1.26,71.94,70.18,5237,7931,6122.04
197,0,657,657.9,51,51.38,112.77,515,562.0,0.92,47.52,42.65,10.2,10.7,4.66,3.99,1.42,81.53,78.99,5309,7637,6190.88
198,0,1181,1181.46,48,48.45,102.18,452,490.0,0.92,42.15,37.93,9.85,10.5,4.28,3.61,1.96,112.31,107.15,5161,7987,6132.68
199,0,1624,1624.62,40,40.21,130.33,657,734.0,0.9,55.36,48.43,11.4,12.61,4.86,3.84,2.85,163.2,162.81,5048,7871,6071.19
200,0,1741,1741.26,35,35.38,147.94,752,819.0,0.92,65.38,59.71,10.2,11.43,6.41,5.22,0.11,6.15,4.36,5260,8425,6260.56
201,0,78,78.13,46,46.36,137.68,646,711.0,0.91,59.06,53.47,10.3,10.88,5.74,4.91,2.65,151.7,148.8,5160,7977,6088.48
202,0,351,352.06,63,63.15,170.95,788,919.0,0.86,74.33,67.04,8.25,11.29,9.01,5.94,1.23,70.35,70.29,5369,7603,6213.39
203,0,490,490.12,35,35.46,92.87,383,423.0,0.91,39.05,35.42,9.22,9.85,4.24,3.6,0.23,13.32,6.08,5436,7782,6172.21
204,0,557,557.74,42,42.05,125.64,538,583.0,0.92,53.76,47.91,9.49,9.84,5.67,4.87,0.32,18.43,21.78,5486,7503,6171.49
205,0,1255,1256.11,48,48.29,173.44,814,928.0,0.88,75.77,68.15,10.77,11.07,7.04,6.16,2.75,157.5,156.76,5300,8205,6267.91
206,0,301,301.48,51,51.59,104.08,495,529.0,0.94,42.72,37.82,11.4,11.57,3.75,3.27,1.29,73.69,70.14,5033,7907,5983.62
207,0,1953,1953.82,47,47.59,89.94,419,450.0,0.93,36.77,32.13,11.7,11.38,3.14,2.82,1.18,67.62,72.71,5168,8012,6223.2
208,0,582,582.1,43,43.56,116.33,544,606.0,0.9,48.47,43.34,10.77,11.39,4.5,3.8,0.38,21.8,22.31,5175,7850,6152.16
209,0,1877,1877.95,51,51.03,94.43,416,447.0,0.93,39.05,33.86,10.2,10.77,3.83,3.14,1.34,76.68,71.93,5072,8253,6140.5
210,0,1916,1916.26,64,64.37,176.45,892,1051.0,0.85,77.8,69.0,9.22,12.74,8.44,5.42,0.92,52.84,54.52,5108,8411,6239.15
211,0,1024,1024.32,42,42.36,53.46,183,200.0,0.92,18.11,15.19,14.14,12.03,1.28,1.26,1.68,96.34,76.37,7232,8269,7753.01
212,0,1677,1677.71,39,39.34,136.53,671,720.0,0.93,61.0,54.31,10.0,11.31,6.1,4.8,3.14,180.0,178.97,5331,8084,6187.03
213,0,1854,1854.12,46,46.38,117.05,577,626.0,0.92,48.88,43.68,11.66,11.73,4.19,3.73,0.54,30.76,27.61,5061,8007,6202.29
215,0,1061,1061.27,59,59.88,129.88,624,713.0,0.88,54.78,48.71,9.49,11.94,5.77,4.08,1.2,68.59,66.64,5171,8128,6111.17
216,0,1296,1296.1,42,42.66,133.01,666,736.0,0.9,56.72,50.47,10.2,12.02,5.56,4.2,0.16,9.13,8.14,5080,8223,6260.25
217,0,59,59.26,48,48.5,102.23,458,494.0,0.93,43.05,38.13,10.3,10.53,4.18,3.62,2.61,149.26,148.99,5319,7679,6057.24
218,0,267,267.55,50,50.46,85.74,386,408.0,0.95,35.36,30.81,10.3,10.79,3.43,2.85,1.07,61.26,58.86,5268,7803,6146.7
219,0,511,511.78,56,57.01,161.72,793,973.0,0.82,70.8,59.44,9.43,14.47,7.51,4.11,0.64,36.38,37.92,5168,8127,6237.21
220,0,665,665.65,64,64.86,140.91,641,727.0,0.88,61.13,54.66,8.54,10.87,7.15,5.03,1.31,74.83,75.5,5239,8004,6248.07
221,0,725,725.58,60,60.35,119.01,583,636.0,0.92,51.2,45.39,11.18,11.4,4.58,3.98,1.79,102.41,100.32,5147,7951,6020.11
222,0,391,391.33,52,52.5,88.08,358,388.0,0.92,36.72,32.51,8.94,9.7,4.1,3.35,1.06,60.64,61.95,5348,7667,6167.88
223,0,399,399.53,60,60.09,126.12,564,616.0,0.92,53.71,48.87,9.85,10.21,5.45,4.79,1.15,65.82,63.04,5343,7971,6176.92
224,0,445,445.57,72,72.12,163.74,799,941.0,0.85,71.39,62.31,8.06,12.73,8.85,4.89,1.77,101.31,99.75,5103,8002,6069.94
225,0,750,750.97,69,69.38,151.6,755,848.0,0.89,66.48,60.1,10.05,11.56,6.62,5.2,1.45,83.09,83.44,5113,8259,6153.41
226,0,1425,1425.11,42,43.09,144.18,709,793.0,0.89,63.01,55.33,10.0,12.28,6.3,4.51,0.02,0.91,179.44,5314,8267,6366.25
227,0,1608,1608.8,47,47.84,92.91,421,459.0,0.92,37.16,33.11,9.85,11.38,3.77,2.91,2.73,156.19,155.03,5399,7579,6112.42
228,0,1892,1892.67,54,54.78,101.54,478,505.0,0.95,42.19,37.82,11.66,11.12,3.62,3.4,1.02,58.57,54.09,5252,7972,6142.93
229,0,1480,1480.75,45,45.21,106.87,560,588.0,0.95,45.4,40.31,13.15,12.1,3.45,3.33,0.13,7.59,4.69,4995,7775,5986.01
230,0,1078,1078.94,53,53.75,75.46,336,350.0,0.96,30.07,26.08,12.0,11.1,2.51,2.35,1.5,86.19,84.83,5073,7739,6039.13
231,0,44,44.98,53,53.15,100.23,456,489.0,0.93,42.19,37.27,11.66,10.71,3.62,3.48,2.59,148.57,148.02,5169,8100,6101.39
232,0,898,898.26,46,47.24,144.77,723,824.0,0.88,62.65,56.24,9.22,12.11,6.8,4.64,0.14,8.26,4.79,5087,7889,6102.05
233,0,1151,1151.35,62,62.16,123.78,583,631.0,0.92,53.54,48.13,10.0,10.89,5.35,4.42,1.0,57.2,56.36,5039,7938,6179.17
234,0,1236,1236.12,52,52.44,95.74,438,470.0,0.93,39.12,34.41,11.66,11.23,3.35,3.07,2.57,147.53,150.67,5252,8028,6209.03
235,0,1933,1933.27,60,60.19,109.3,485,524.0,0.93,46.65,41.61,10.3,10.33,4.53,4.03,1.03,59.04,57.71,5444,8063,6221.92
236,0,162,162.09,56,56.26,83.4,362,383.0,0.95,34.0,30.31,10.3,10.53,3.3,2.88,1.08,61.93,55.63,5295,7948,6196.97
237,0,471,471.41,65,65.53,133.44,609,678.0,0.9,57.98,51.72,9.43,10.62,6.15,4.87,1.01,57.68,56.8,5357,8060,6202.37
238,0,646,646.61,70,70.88,137.01,606,709.0,0.85,60.21,52.51,9.06,11.25,6.65,4.67,1.65,94.76,95.35,5435,8006,6266.5
